编号,标签,时间,内容
35872542,"小米11,MIUI系统,有线充电",2022-02-25 21:03:05,"MIUI13-小米11稳定版 13.0.5.0 67W有线充电断断续续
操作步骤
miui13.今天打开jj斗地主，突然黑屏，然后自动重启，以为会烧wifi，还好没有，用67瓦快充充电自己断断续续，一会儿充，一会儿不充，真不让人省心。最糟心就是哈曼卡顿音效，还不如不开"
35813113,"小米11,MIUI系统,三方应用圈",2022-02-25 16:25:47,"MIUI13-小米11稳定版 13.0.6.0 日常使用卡顿，掉帧
操作步骤
这就是MIUI13掉帧的一笔"
34973760,"位置信息,屏幕触控,三方应用圈,小米11,MIUI系统",2022-02-25 15:27:41,"MIUI13 小米11 稳定版 13.0.5.0 屏幕误触
操作步骤
不知道是不是更新MIUI 13的原因，小红书打开后（包括切后台）立马自动进入帖子，有时候会退出退出帖子立马又自动进去，详情见视频
预期结果
进去小红书直接在主页，不会自动进入帖子。
实际结果
进去小红书直接进入帖子"
34972090,"小米11,MIUI系统,三方应用圈",2022-02-25 13:37:00,"MIUI13-22.2月起小米11开发版 微信调用输入法输入文本框被键盘遮挡，优化后复现
操作步骤
1.点击微信输入框输入法能弹出输入框不同步向上移动
预期结果
希望可以输入框输入法同步
实际结果
实际操作结果就是输入法可以弹出输入框无法同步向上移动必须退出微信QQ等聊天应用才可以"
35862017,"网络信号,小米11,MIUI系统",2022-02-25 10:24:00,"MIUI13-小米11稳定版13.0.6无法搜索到WIFI助理-双WiFi加速辅助WL
操作步骤
小米11无法 搜索到wlan助理 里双WLAN加速的辅助WLAN
预期结果
能有效收到结果不要自己没有回复
实际结果
能有效收到结果不要自己没有回复"
36141076,"小米11,声音和振动,时钟,MIUI系统,位置信息,小米10/10Pro,小爱智能闹钟,开发版内测",2022-02-25 10:10:26,"22.2月-闹钟不响
操作步骤
设置的闹钟没有响，不止出现一次了7"
36593554,"小米11,声音和振动,MIUI系统,音频",2022-02-25 10:08:20,"MIUI13-小米11稳定版13.0.5-扬声器无声音
操作步骤
发现没有声音之后，重启了好几次，每次都是重启后五六分钟有声音，然后突然没声音或者就是扬声器刺啦刺啦的响，接着就没有声音了。
预期结果
重启完扬声器恢复正常
实际结果
短暂恢复正常，过十分钟左右还是会没有声音。"
36585824,"小米11,MIUI系统,屏幕显示",2022-02-24 23:10:04,"MIUI13-小米11稳定版13.0.5-自动亮度异常/忽暗忽亮
操作步骤
一秒内亮度来回一下亮一下暗，你这装星星呢。"
36584879,"小米11,开发版内测,网络信号,MIUI系统",2022-02-24 22:41:00,"MIUI13-截止2.27小米11开发版-WIFI断流延迟 
操作步骤
打游戏出现网络延迟卡顿，频率高，不间断出现此问题。
预期结果
游戏网络稳定，没有卡顿现象。
实际结果
网络延迟卡顿，延迟高，不停掉网"
36585084,"小米11,三方应用圈,MIUI系统",2022-02-24 22:33:44,"MIUI13-小米11稳定版13.0.6.0-微信闪退
操作步骤
其他应用正常打开，正常使用，就是微信出现闪退，而且关机重启都没用！！！
预期结果
望赶紧修复闪退，没有重要文件，工作急用！！！
实际结果
微信闪退，一直点，一直闪退，关机重启也不行！啊啊啊！！！
补充说明
其他应用正常打开，正常使用，就是微信出现闪退，而且关机重启都没用！！！"
35846777,"K30S至尊纪念版,网络助手,Redmi Note 10/10 Pro,小爱同学圈,扫一扫,小米11,声音和振动,电话,天气,MIUI系统,应用包管理组件,系统动画,设置,搜狗输入法（小米版）,开发版内测,开发版公测,音频,小米10至尊纪念版,小米音乐 ,Redmi K40游戏增强版,智能助理（负一屏）,屏幕显示,隐私保护,小米真无线降噪耳机3/Pro,指纹识别,AI通话,Xiaomi Civi,小米10/10Pro,Redmi Note 9/9 Pro,手机蓝牙,三方应用圈,小米11青春版,Redmi K40/Pro,小米10S,钱包,服务与反馈APP,Redmi Note 11/Pro",2022-02-24 17:34:03,"MIUI13 22.2月起 系统语音引擎停止运行修复后复现
操作步骤
依旧未修复。"
35845202,"小米11,耗电,MIUI系统",2022-02-24 16:39:21,"MIUI13-小米11稳定版 13.0.6.0 耗电异常电量一直显示100%
操作步骤
离谱啊，是不是电池坏了"
35845362,"小米11,MIUI系统,有线充电,开发版内测",2022-02-24 16:19:05,"MIUI13-截止2.27 小米11开发版 55W有线充电慢
操作步骤
你们有没有充电显示普通充电？"
36123366,"小米11,状态栏,MIUI系统,小米11 Ultra,屏幕显示,Redmi K40游戏增强版,小米10S,稳定版内测,Redmi Note 10/10 Pro",2022-02-24 16:02:28,"MIUI13-22.2月起 稳定版 状态栏应用通知图标变形异常
操作步骤
为什么小图标会变瘦，减肥了？"
34950800,"隐私保护,三方应用圈,小米MIX 4,开发版内测,小米11 Ultra,MIUI系统,开发版公测,服务与反馈APP,小米11,小米12,小米12 Pro,系统动画,Redmi K40/Pro,相机",2022-02-24 11:56:43,"MIUI13 22.2月起 无法通过农业银行人脸识别验证
操作步骤
更新MIUI13后，农业银行手机银行进行人脸识别时有个黑圈会跟随人脸运动，导致人脸识别失败，身边已有几个更新的米粉也出现此问题，往解决
预期结果
正常情况下是不会有黑圈的
实际结果
黑圈挡住了人脸导致识别失败"
36559339,"开发版内测,小米11,相机,MIUI系统",2022-02-23 23:32:51,"MIUI13-22.2月起 小米11 开发版 相机对焦模糊/无法对焦
操作步骤
拍照模糊，无法对焦，前面好几个版本同样。
预期结果
拍照正常，对焦正常，拍照正常
实际结果
拍照模糊不清，对焦不行"
35775928,"小米11,温度控制,MIUI系统,有线充电",2022-02-23 22:33:11,"MIUI13-小米11稳定版13.0.5-充电场景发热严重
操作步骤
室内20℃，手机充电温度还这么高，怕不是可以期待一下一年后再换新机了！"
36554024,"开发版内测,耗电,小米11,MIUI系统,续航",2022-02-23 19:56:17,"MIUI13-截止2.27 小米11 开发版 日常使用耗电异常
操作步骤
正常使用情况下续航突然尿崩
预期结果
希望能够恢复正常续航时长
实际结果
正常使用情况下续航突然尿崩"
35767788,"开发版内测,应用商店,日历,小米11,控制中心,开发版公测,小米MIX 4,Redmi K30/Pro,Redmi K40游戏增强版,屏幕显示,K30S至尊纪念版,桌面,小米11 Pro",2022-02-23 15:22:18,"MIUI13 22.2月起 无故弹出“应用商店暂未收录该应用”
操作步骤
小米11开发版内测，22.2.21版本，经常弹出“应用商店暂未收录该应用”，请尽快修复"
36097151,"MIUI系统,耗电,小米11",2022-02-23 14:24:07,"MIUI13-小米11稳定版13.0.6日常使用耗电快
操作步骤
MIUI13功耗需要优化，耗电特别快！"
35818782,"无线充电,小米11,MIUI系统",2022-02-23 13:52:00,"MIUI13-小米11稳定版13.0.5无线反充失效/提示功能异常
操作步骤
打不开无线反充，提示功能异常，没有进行无线充电提示无线充电
预期结果
无线反充成功开启，正常使用无线充电
实际结果
无线反充开启失败，提示功能异常，提示正在无线充电"
36096736,"小米10S,状态栏,MIUI系统,设置,开发版内测,小米11,K30至尊纪念版,有线充电",2022-02-23 13:47:20,"MIUI13-22.2月起 开发版 状态栏 未进入充电状态，显示充电中
操作步骤
凭空充电真挺无语的，反馈了很多次屁都不放一个，给大伙看个乐子吧"
35816402,"小米11,三方应用圈",2022-02-23 12:08:10,"MIUI13-小米11稳定版13.0.5.0部分APP无法登录，一直显示帐号未登录
操作步骤
打开APP后（小米商城及小米有品）账号显示未登录，但点击登陆又可以显示出账号的信息，反复退出APP，杀掉后台还是有同样问题！
预期结果
顺利登入账户使用购物功能
实际结果
实际反复杀掉后台打开APP后结果依旧，不能每次使用该软件时都重启手机吧？"
36542449,"小米11,相机,MIUI系统,位置信息",2022-02-23 10:58:15,"MIUI13 小米11 稳定版13.0.5.0 相机闪退，卡死
操作步骤
小米11相机变焦闪退，超级月亮卡死屏，"
36092706,"MIUI系统,小米11,手机管家",2022-02-23 10:18:11,"MIUI13-小米11稳定版13.0.5偶现全局侧边栏打开后没有显示
操作步骤
设置中打开了，全局任务栏栏，还是没有
预期结果
全局任务栏重新出现，游戏中也可以调出来
实际结果
没有出现全局任务栏，游戏中也没有了"
35814192,"MIUI系统,小米11,三方应用圈",2022-02-23 10:12:48,"MIUI13-小米11稳定版13.0.5通知栏不显示QQ新消息/打开QQ消息变成已读
操作步骤
1.QQ软件有人发消息，但通知栏不显示，打开软件后才显示，后台，自启动等都已开启
2.QQ未读消息变已读，别人发的消息，在我未读的情况下，自动变为已读
预期结果
1.通知栏及时通知QQ消息
2.解决QQ未读变已读的情况

实际结果
已经多次出现这类情况，严重影响到我的日常使用，经常出现消息不通知，未读消息变成已读！"
35811187,"开发版内测,小米11,网络信号,MIUI系统",2022-02-23 08:17:43,"MIUI13 截止2.27 小米11开发版数据断流
操作步骤
有信号但就是没网络，刷新不了
预期结果
不断流，网络情况好转
实际结果
还是断流，要开关飞行模式才好，而且很频繁"
36534794,"小米11,MIUI系统,屏幕显示",2022-02-23 00:49:04,"MIUI13-小米11稳定版 13.0.5.0 解锁闪屏
操作步骤
难道就没人闪屏嘛？有的时从高亮度环境，到低亮度环境，解锁亮屏会闪白光"
36081186,"小米11,MIUI系统",2022-02-22 21:55:13,"MIUI13-小米11公测版 13.0.5.1.5 日常使用卡顿掉帧严重
操作步骤
我也算个米粉了吧，最后悔就是买11，11一热就卡的不行，天气还没热呢，现在就卡的不行了"
35751893,"小米11,屏幕触控,MIUI系统",2022-02-22 21:50:47,"MIUI13-小米11公测版 13.0.5.1.5 游戏场景断触，跳屏
操作步骤
兄弟们，这是断触还什么问题，你们遇见过没有"
36529724,"小米11,网络信号,MIUI系统",2022-02-22 21:47:00,"MIUI13-小米11稳定版 13.0.5.0 通话相关异常
操作步骤
怎么回事别人打不通我的电话"
34918335,"小米11,MIUI系统,时钟",2022-02-22 21:37:06,"MIUI13-小米11稳定版 13.0.5.0 系统时间不准
操作步骤
垃圾玩意，网络时间都可以不准"
36080981,"小米11,耗电,MIUI系统",2022-02-22 21:35:02,"MIUI13-小米11公测版 13.0.5.1.7 日常使用异常耗电
操作步骤
这耗电曲线真顺滑😂😂"
35803342,"小米11,控制中心,MIUI系统,位置信息",2022-02-22 21:31:21,"MIUI13-稳定版-控制中心-关闭位置信息，自动关闭热点
操作步骤
小米13系统，手机小米11，现在一开热点，关闭gps，热点也跟着自动关闭，很无奈。每次用导航都要操作一次，有时自动关闭，12.5或之前系统没出现过。设置也弄过，关闭自动，设置200mb流量，还是一样，
预期结果
起码正常使用吧，真的很奔溃，车载导航，联网体验很差
实际结果
希望早日解决，让大家用的放心。
补充说明
希望早点修复，我们跑企业的，没导航真的不好走，非常音响驾驶安全。经常开车设置导航"
36525949,"音频,开发版内测,小米11,三方应用圈,MIUI系统,小米10S,小米MIX 4",2022-02-22 19:16:13,"MIUI13 22.2月起 全民k歌无耳返
操作步骤
1.打开全民k歌
2.开始唱歌
预期结果
有耳返，声音正常，而且有对应设置
实际结果
耳返声音小，基本听不清
补充说明
希望工程师该快修复这个bug,加油相信你"
34909890,"MIUI系统,小米11,电话,屏幕显示,位置信息",2022-02-22 13:43:50,"MIUI13-小米11稳定版13.0.5-日常使用卡顿
操作步骤
更新后更卡了，平常40%内存，更新后占到了60-70%.这不是浪费电吗"
35740218,"小米11,MIUI系统",2022-02-22 10:57:36,"MIUI13-小米11稳定版13.0.5.0来消息或挂断电话，闪光灯无法自动关闭
操作步骤
手机来电闪光灯闪烁后，闪光灯会一直开启，而且无法关闭，只能重启才能解决。
预期结果
接通电话或挂断电话，闪光灯自动熄灭
实际结果
接通电话或挂断电话，闪光灯无法自动关闭，且手动关闭无效。"
35739173,"开发版内测,小米10至尊纪念版,屏幕显示,控制中心,设置,Redmi K40/Pro,MIUI系统,通知栏,开发版公测,手机管家,游戏加速,小米11,小米妙享中心公测,位置信息,小米MIX 4,K30S至尊纪念版,自由小窗,小米12X,小米11 Ultra,屏幕时间管理",2022-02-22 10:12:31,"MIUI13 22.2月起 开发版 无故自动降低亮度/忽亮忽暗/无法正常调节亮度
操作步骤
调亮度 自动亮度 手动亮度
预期结果
亮度正常 我还能预期什么？
实际结果
自动变暗 任何情况  自动亮度变暗我在日光灯下面 手动练度也暗"
36511104,"小米11,网络信号,MIUI系统",2022-02-22 08:46:58,"MIUI13 小米11 稳定版 13.0.6.0 个人热点自动关闭/断网/不稳定
操作步骤
一打开之后就会自动关闭，热点WiFi都连接不上了
预期结果
能够连接成功，更新系统之前可以使用
实际结果
热点连接失败 ，更新之后WiFi都不可以使用了。"
35777682,"开发版内测,MIUI系统,天气,小爱同学圈,Redmi Note 9/9 Pro,无障碍,手机蓝牙,设置,电话,小米10/10Pro,音频,通知栏,Redmi K40/Pro,小米MIX 4,应用包管理组件,开发版公测,位置信息,三方应用圈,多看阅读,手机管家,网络信号,屏幕显示,Redmi K30/Pro,钱包,指纹识别,系统动画,服务与反馈APP,MIUI小部件,小米11,Xiaomi Watch S1,隐私保护",2022-02-21 20:30:14,"MIUI13 22.2月起 系统语音引擎停止运行
操作步骤
1.系统升级重启
2.开机就显示程序屡次停止
预期结果
系统更新后使用无问题
实际结果
开机就显示程序屡次停止"
36500164,"位置信息,主题壁纸,MIUI系统,小米10/10Pro,小米11",2022-02-21 20:05:33,"MIUI13 开发版  主题壁纸 无故消失
操作步骤
，，，，，，，，，，，，，
预期结果
，，，，，，，，，，，，
实际结果
，，，，，，，，，，，
补充说明
，，，，，，，，，，，，，"
35776327,"MIUI系统,小米11,应用商店,稳定版内测,三方应用圈,屏幕显示",2022-02-21 19:28:52,"MIUI13 小米11 稳定版13.0.6.0 软件闪退
操作步骤
1：打开软件比如腾讯视频
2：操作视频内的电视，综艺等切换查看内容会卡屏不动。
3：软件会闪退，后提示程序无响应
4：需要等待自行好了，才能从新进入查看。

5：抖音，快手，微信也多次出现闪退情况。
预期结果
请小米系统团队及时优化，无论是系统问题还是软件问题给个解决方案。所有情况消除。
实际结果
目前还是这个问题，软件闪退，卡屏，程序无法响应。"
35719258,"小米11,MIUI系统,三方应用圈,桌面",2022-02-21 13:02:20,"MIUI13 小米11 稳定版13.0.5.0 应用无故闪退
操作步骤
MIUI13什么时候修复抖音闪极速版退的问题啊，不停的闪退 刷几个视频就闪退"
35716493,"小米11,三方应用圈,MIUI系统,开发版内测,桌面,屏幕显示,屏幕触控,小米商城",2022-02-21 10:47:41,"22.2月起MIUI13小米11-开发版日常使用应用卡顿/无响应
操作步骤
更新系统后打开前程无忧，智联卡顿，未响应。期间两款没有更新
预期结果
不知填什么。。。。。。。。。。。。。
实际结果
软件卡顿，未响应。。。。"
35764652,"小米11,MIUI系统",2022-02-21 10:04:43,"MIUI13 小米11 稳定版 13.0.5.0 电源键失效/反应迟钝
操作步骤
有时候用着用着电源键就失灵了，怎么点都没反应，叫小爱重启后也不行，只能指纹。
等个大概几十分钟就又好了。这几天出现过好几次。
感觉不是按键坏了，按着挺好的，回弹也不错。升级13后才出现的。
预期结果
电源键正常使用，不要间歇性。。
实际结果
不能正常使用电源键，间歇性失灵"
36039751,"小米11,MIUI系统,续航,屏幕显示",2022-02-21 10:01:35,"MIUI13 小米11稳定版13.0.5.0 电量显示异常，电量不减少
操作步骤
小米11突然电量显示异常，一直是100%的电量，等手机没电关机前还是100%的电量，
预期结果
电量显示能恢复异常，
实际结果
各种刷机，恢复出厂设置都试过了还是没有用。
补充说明
昨天早上醒来给手机充电，手机充电音响了，但是没有闪电，等过一会才显示闪电，然后手机充电速度变慢了，不知道是什么原因然后恢复出厂设置，没有用，然后查看了一下系统更新就更新了MIUI13,都没用。"
34876145,"小米11,MIUI系统,有线充电",2022-02-20 21:55:09,"MIUI13-截止2.20 小米11开发版 55W有线充电断断续续
操作步骤
小米11充电时经常出现短时间断断续续提示音，而且充不进去电。用车载100W充电时经常出现。原装充电器偶尔出现。"
35754557,"小米11,MIUI系统,有线充电",2022-02-20 21:33:15,"MIUI13-小米11稳定版13.0.5-55w有线充电断断续续
操作步骤
我的11用官方的快充充电老是断断续续的，换成18w充电头又好了，大家知道这是怎么回事吗？"
36028971,"设置,Redmi K50电竞版,MIUI系统,网络信号,网络助手,开发版公测,Redmi K40/Pro,数据线, 小米助手,开发版内测,我的服务内测,小米12,小米11,小米12 Pro,K30S至尊纪念版,稳定版内测,小米10S,小米10/10Pro,应用包管理组件,Redmi K40游戏增强版,Redmi K30/Pro",2022-02-20 21:28:40,"MIUI13 22.2月起 USB网络共享无法正常使用修复后复现
操作步骤
连接小米手机和电脑打开手机热点点击usb网络共享
预期结果
尽快解决问题让手机可以共享网络
实际结果
共享连接后没有连接图标"
36005096,"小米11,MIUI系统,桌面",2022-02-19 23:50:15,"MIUI13-小米11稳定版13.0.5.0-系统界面无响应
操作步骤
最近手机总是莫名其妙的无响应，正操作的手机就突然点什么都不动，没办法操作任何事情，要等几十秒系统出现系统桌面无响应，然后才能点返回或者别的什么操作，今天一天就出现不下十次，严重影响使用感受，望能尽快修
预期结果
正在正常使用，突然不能操作手机，然后无响应
实际结果
系统桌面无响应，出现频率越来越多，手机才买了半年"
34854340,"小米11,MIUI系统",2022-02-19 22:10:55,"MIUI13-小米11稳定版13.0.5.0偶现特定应用场景下，回复弹窗消息后当前页面卡死，无法返回至初始应用界面
操作步骤
如题。手机各界面，包括锁屏，桌面（此时桌面无其他图标）都变成了微信聊天界面，只能通过重启解决。此bug自MIUI12.5就有了，MIUI 13仍未修复
预期结果
11111111111
实际结果
11111111111"
34854015,"小米11,相机,MIUI系统",2022-02-19 21:35:46,"MIUI13-小米11-稳定版13.0.5.0-不支持小米自拍杆变焦版
操作步骤
链接小米自拍杆，打开相机，使用变焦和翻转镜头，没反应
预期结果
相机正常响应变焦和翻转镜头
实际结果
相机对按键没有任何反应"
34852830,"开发版公测,MIUI小部件,MIUI系统,开发版内测,天气,智能助理（负一屏）,稳定版内测,主题壁纸,小米8/8 SE/青春版,位置信息,Redmi Note 10/10 Pro,小米10S,Redmi K40/Pro,小米12,桌面,小米运动健康-原小米穿戴&健康,屏幕显示,小米妙享中心公测,小米11 Ultra,小米11,小米10/10Pro,桌面内容中心,Redmi K30/Pro,小米11 Pro,K30S至尊纪念版,Redmi K40游戏增强版,K30至尊纪念版,Redmi K50系列,Redmi Note 9/9 Pro,小米10至尊纪念版,小米10青春版",2022-02-19 20:46:30,"MIUI13 22.2起 天气小部件 加载失败
操作步骤
添加天气和管家的小组件加载不出来
预期结果
正常状况下实时显示数据
实际结果
天气没数据；后台无法清理
补充说明
负一屏的小插件正常"
34851740,"小米11,网络信号,MIUI系统,控制中心",2022-02-19 19:41:34,"MIUI13-小米11稳定版13.0.5-数据网络无法关闭
操作步骤
点击移动数据关闭流量
预期结果
移动数据被关闭，停止使用流量
实际结果
移动数据无法关闭流量依旧在使用"
34848055,"相机,小米11,MIUI系统",2022-02-19 16:14:00,"MIUI13 小米11 稳定版13.0.5 相机异常提示温度过高
操作步骤
冬天拍照温度高提示
实际温度很低
预期结果
拍照恢复正常，修复拍照效果
实际结果
拍照效果差 温度过高提示"
35715762,"小米11,MIUI系统,三方应用圈,位置信息,游戏加速,桌面,短信,屏幕显示, 小米手机,小米妙享中心公测,稳定版内测,屏幕触控,开发版公测,温度控制,网络信号,耗电",2022-02-19 11:02:55,"MIUI13 小米11 稳定版13.0.5.0 日常使用卡顿，掉帧
操作步骤
1.小米11的相机体验糟糕 总是掉帧卡顿
2.每次打开相机取景框直接卡成ppt 特别是后台在运行的时候 开始录像也会卡顿几下才好
3.卖到3999的手机体验能不能好一点 建议优化相机"
34828290,"开发版内测,小米11,相机,MIUI系统",2022-02-18 20:19:25,"MIUI13-22.2月起 小米11 开发版 相机异常/闪退
操作步骤
拍照时开始时，去看照片相机就闪退，后面按下拍照按钮就退了，还以为修复了，连着几个版本都还没好。最开始是放大照片没效果，结果一看就太小了，但是都是108拍的啊！
预期结果
把相机修复成以前那样吧，习惯了
实际结果
相机只能拿来扫一扫，不能拿来拍照"
35969856,"主题壁纸,开发版内测,小米11,MIUI系统,屏幕显示,开发版公测,桌面,官方壁纸,小米10至尊纪念版,K30S至尊纪念版,小米10/10Pro,小米10S, 锁屏,自由小窗,Redmi K40/Pro,系统桌面内测,位置信息,相册,温度控制,Redmi Note 9/9 Pro,深色模式,屏幕时间管理,系统动画,Redmi K30/Pro,小米画报,小米12X,游戏中心",2022-02-18 18:57:37,"MIUI13-开发版-主题壁纸-桌面/锁屏壁纸变纯色无法更改
操作步骤
返回主界面壁纸有时候会出现空白
预期结果
壁纸应该没有变化才对应该是保持不变的
实际结果
壁纸有时候会变成空白过好久才有几率变回来"
35969216,"Redmi Note 9/9 Pro,状态栏,开发版内测,MIUI系统,K30至尊纪念版,通知栏,小米11",2022-02-18 18:33:06,"MIUI13-22.2月起 开发版 偶现状态栏消失
操作步骤
一打开锁屏之后就不见了
预期结果
下拉状态栏，状态栏显示
实际结果
不显示，下拉不了 无法下拉"
35693757,"小米11,MIUI系统,有线充电",2022-02-18 16:15:12,"MIUI13-小米11稳定版 13.0.6.0 55W有线充电慢
操作步骤
稳定版充电这么慢的吗"
35961481,"小米11,耗电,MIUI系统,续航",2022-02-18 13:19:38,"MIUI13-小米11稳定版 13.0.6.0 待机场景异常耗电
操作步骤
为什么我手机耗电很快啊，晚上放那里不玩，一觉醒来掉了二十多电，后台没什么东西？"
36401724,"小米11,相机,MIUI系统,开发版公测",2022-02-18 13:12:34,"MIUI13-小米11公测版 13.0.4.1.1 相机启动慢，卡顿
操作步骤
你们的相机会卡吗？一打开就定格在一个画面不动，而且启动也慢的很。"
35957251,"开发版内测,MIUI系统,搜狗输入法（小米版）,讯飞输入法（小米版）,屏幕触控,屏幕显示,百度输入法（小米版）,系统动画,K30S至尊纪念版,短信,应用包管理组件,三方应用圈,Redmi K40/Pro,K30至尊纪念版,桌面,位置信息,小米10/10Pro,设置,应用商店,控制中心,小米11,Redmi K30/Pro, 小米手机,状态栏,Redmi Note 9/9 Pro,手机管家,开发版公测,手机蓝牙, 锁屏,Redmi Note 10/10 Pro,小米社区,小米11青春版,Redmi K50系列",2022-02-18 10:32:36,"MIUI13 2.17版本起 输入法 输入框遮挡
操作步骤
微信聊天框不弹起来"
35957511,"开发版内测,温度控制,小米11,MIUI系统",2022-02-18 10:31:01,"MIUI13 截止2.20 小米11 开发版 日常使用发热严重
操作步骤
早上充电一会 手机很烫 昨天打游戏 手机温度也比之前高很多
预期结果
温度稳定 别这么发热了 尽快改下
实际结果
发热十分严重 烫手打游戏 充电"
35632433,"小米11,声音和振动,MIUI系统,开发版内测,音频",2022-02-17 23:38:38,"MIUI13-22.2月起 小米11开发版 扬声器杂音破音
操作步骤
打开扬声器清理，把声音开到最大。
然后扬声器发出咔咔声，是我扬声器出了问题吗
你们有没有这问题"
35632338,"小米11,屏幕触控,MIUI系统",2022-02-17 23:35:25,"MIUI13-小米11稳定版 13.0.5.0 触控失灵/跳屏/断触
操作步骤
跳屏能不能解决？"
35632528,"小米11,网络信号,MIUI系统",2022-02-17 23:23:55,"MIUI13-小米11稳定版 13.0.5.0 掉volte
操作步骤
我的卡1是电信，卡2是联通，现在到底是在用卡1的流量还是卡2的
而且hd图标也没有，还显示没有电话信号(？)"
35632608,"小米11,MIUI系统",2022-02-17 23:20:32,"MIUI13-小米11稳定版 13.0.6.0 内存占用大
操作步骤
这个运行 果然是12g运行才是标配吗"
35675482,"小米11,声音和振动,MIUI系统",2022-02-17 23:17:43,"MIUI13-小米11稳定版 13.0.5.0 麦克风音量小
操作步骤
更新完13系统麦克风声音好小，这是bug还是硬件坏了啊，有没有知道的，求回复😭😭"
35632093,"小米11,耗电,MIUI系统",2022-02-17 23:14:17,"MIUI13-小米11公测版 13.0.5.1.7 低电量场景耗电快
操作步骤
电量还有20多瞬间降到1%，有同样问题的吗（首发的11）"
35946781,"小米11,温度控制,MIUI系统,三方应用圈",2022-02-17 23:09:15,"MIUI13-小米11公测版 13.0.5.1.5 微信QQ视频通话场景异常发热
操作步骤
什么时候能把打视频电话手机严重发热优化了？"
34806355,"小米11,设置,MIUI系统",2022-02-17 22:04:32,"MIUI13-小米11稳定版13.0.5-设置5G网络开关闪退无法进入 
操作步骤
点关闭5G一直从新搜网闪退到设置主界面，一直没办法关闭5G
可以看录屏一直重新搜网，烦死了
预期结果
详细看录屏内容，一直闪退，搜网
实际结果
看录屏文件，看录屏文件"
35673397,"小米11,MIUI系统",2022-02-17 21:59:28,"MIUI13-小米11稳定版 13.0.5.0 system无响应
操作步骤
这个是什么东西"
35630563,"小米11,无障碍,MIUI系统",2022-02-17 21:57:23,"MIUI13-22.2月无障碍-无障碍自动点击器 自动关闭
操作步骤
1·打开自动点击器，录制脚本
2.打开无障碍模式中的自动点击器权限。
3.运行
4.系统运行1-2次后无障碍模式中的自动点击器权限被系统关闭。需要重新开启
预期结果
能够正常使用无障碍模式。
实际结果
无障碍模式中的自动点击器权限被系统关闭。需要重新开启"
36383464,"小米11,电话,MIUI系统,屏幕显示",2022-02-17 21:52:47,"小米11稳定版 13.0.5.0 距离感应器异常，失效，不灵敏
操作步骤
什么时候解决通过距离感应器失效的问题？反馈了很久很多次了！！！！！"
34805470,"小米11,MIUI系统,三方应用圈,屏幕触控",2022-02-17 21:37:13,"MIUI13-小米11稳定版13.0.5-微信消息发送按钮失效
操作步骤
机型:小米11
miui版本:13.0.5
操作:
1.关闭无障碍悬浮按钮；
2.在图2状态下，点击“发送”按钮左上部分，如图2红色方框所示位置。
预期结果
能够成功发送微信消息
实际结果
点击之后，无反应，消息没有发送。但是点击“发送”按钮其他位置可以正常发送消息。
补充说明
打开无障碍悬浮按钮后，上述bug消失。"
35627798,"云服务,开发版内测,小米11,位置信息",2022-02-17 20:42:11,"MIUI13 22.2月起 小米云服务停止运行
操作步骤
有时候用着用着就会弹出“小米云服务”已停止运行，如果进入设置手动同步的话就是视频里面的情况
预期结果
同步成功，后台同步时没有停止运行弹窗
实际结果
后台同步的话就是会弹出这个样子
补充说明
没有了"
34802075,"MIUI系统,系统动画,小米11,位置信息,电话,开发版内测",2022-02-17 19:24:20,"MIUI13-小米11稳定版13.0.6日常使用卡顿/掉帧
操作步骤
我是小米11手机，升级13版本后特别卡顿，动态画面卡顿，玩王者也卡的厉害，只要画面动就卡不流畅
预期结果
希望能尽快出新版本解决这个问题，谢谢，或者告诉我怎么回到上个版本
实际结果
希望能尽快出新版本解决这个问题，谢谢，或者告诉我怎么回到上个版本"
35941116,"开发版内测,通知栏,小米11,控制中心",2022-02-17 19:22:22,"MIUI13 22.2月起 通知栏-开发版出现空白通知/通知空格无内容显示
操作步骤
通知中心ui出现错乱，没有对齐
预期结果
通知中心应该等距对齐排列
实际结果
通知中心ui出现错乱，没有对齐"
35622168,"开发版内测,MIUI系统,讯飞输入法（小米版）,服务与反馈APP,搜狗输入法（小米版）,位置信息,电话,续航,屏幕显示,开发版公测,K30S至尊纪念版,小米10S,三方应用圈,系统动画,Redmi K40游戏增强版,百度输入法（小米版）,小米10/10Pro,Redmi K40/Pro,设置,Redmi Note 9/9 Pro,Redmi K30/Pro, 锁屏,自由小窗, 小米手机,小米11,小米健康,小米11 Ultra,桌面,小米10至尊纪念版,手机蓝牙,屏幕触控,声音和振动,Xiaomi Civi,小米11 Pro",2022-02-17 15:52:23,"MIUI13 22.2月起 输入法 微信输入键盘弹出收回异常
操作步骤
用底部的小黑条左右切换应用的时候有bug
微信的键盘会直接打不开！不管是讯飞输入法还是小米版的讯飞都会，经常抖音挂了后台，抖音会占用麦克风的权限，讯飞输入法无法使用（第2个已经好久了，求修复）"
34792725,"MIUI系统,小米11,三方应用圈",2022-02-17 11:01:53,"MIUI13-小米11稳定版13.0.5.0-58同城无法进入使用
操作步骤
58同城打不开一直卡在初始界面出不来也进不去
预期结果
能够打开正常使用也能够正常进出软件
实际结果
无法正常使用打不开也用不了"
